layer,source_emotion,eval_vector_emotion,score
16,happy,sad,0.31165003776550293
16,happy,angry,-0.41482165455818176
16,happy,happy,-0.2185988873243332
16,happy,sad,0.13726425170898438
16,happy,angry,-0.4790859818458557
16,happy,happy,-0.13960373401641846
16,happy,sad,-0.11125855147838593
16,happy,angry,-0.23459184169769287
16,happy,happy,0.5286967754364014
16,happy,sad,-0.35704219341278076
16,happy,angry,-0.6962742805480957
16,happy,happy,-0.012508705258369446
16,happy,sad,0.051131680607795715
16,happy,angry,-0.5588658452033997
16,happy,happy,0.2731042504310608
16,happy,sad,-0.10810671746730804
16,happy,angry,-0.6064099073410034
16,happy,happy,-0.020227991044521332
16,happy,sad,0.11102179437875748
16,happy,angry,-0.6564318537712097
20,happy,happy,0.22783879935741425
20,happy,sad,-0.009230162017047405
20,happy,angry,-0.31226155161857605
20,happy,happy,0.14183229207992554
20,happy,sad,0.1651945859193802
20,happy,angry,-0.5423538684844971
20,happy,happy,-0.058863140642642975
20,happy,sad,0.026493340730667114
20,happy,angry,-0.4617556631565094
20,happy,happy,-0.014604073017835617
20,happy,sad,0.6744919419288635
20,happy,angry,-0.713104248046875
20,happy,happy,-0.4628317058086395
20,happy,sad,0.7146626710891724
20,happy,angry,-0.3789752125740051
20,happy,happy,-0.6595012545585632
20,happy,sad,0.5026755332946777
20,happy,angry,-0.058843549340963364
20,happy,happy,-0.3608885407447815
20,happy,sad,0.29551616311073303
20,happy,angry,-0.19067776203155518
20,happy,happy,0.031219057738780975
20,happy,sad,-0.07143698632717133
20,happy,angry,-0.26771628856658936
20,happy,happy,0.0816480964422226
20,happy,sad,-0.1455739587545395
20,happy,angry,-0.5478113293647766
20,happy,happy,-0.14555469155311584
20,happy,sad,0.3664392828941345
20,happy,angry,-0.6292564868927002
20,happy,happy,0.01730623096227646
20,happy,sad,0.5390704870223999
20,happy,angry,-0.8308780789375305
20,happy,happy,0.24911177158355713
20,happy,sad,-0.019896943122148514
20,happy,angry,-0.871655285358429
20,happy,happy,-0.01685575395822525
20,happy,sad,0.13455680012702942
20,happy,angry,-0.3584907352924347
20,happy,happy,-0.38473156094551086
20,happy,sad,0.331381231546402
20,happy,angry,-0.5445539951324463
