layer,source_emotion,eval_vector_emotion,score
12,happy,sad,1.7705779075622559
12,happy,angry,1.790825366973877
12,happy,happy,2.001821279525757
12,happy,sad,1.902477741241455
12,happy,angry,1.8581074476242065
12,happy,happy,2.1626553535461426
12,happy,sad,1.9465008974075317
12,happy,angry,2.0261659622192383
12,happy,happy,1.521043062210083
12,happy,sad,1.4348397254943848
12,happy,angry,1.464437484741211
12,happy,happy,1.7587065696716309
12,happy,sad,1.672312617301941
12,happy,angry,1.7318475246429443
12,happy,happy,2.0459671020507812
12,happy,sad,1.9120368957519531
12,happy,angry,1.9260332584381104
12,happy,happy,2.4546070098876953
12,happy,sad,2.38569974899292
12,happy,angry,2.34205961227417
12,happy,happy,2.2768425941467285
12,happy,sad,2.2820119857788086
12,happy,angry,2.1847290992736816
12,happy,happy,1.6975302696228027
12,happy,sad,1.6183111667633057
12,happy,angry,1.6792917251586914
12,happy,happy,2.242713689804077
12,happy,sad,2.2121968269348145
12,happy,angry,2.1953768730163574
12,happy,happy,2.401853561401367
12,happy,sad,2.265415906906128
12,happy,angry,2.3183021545410156
12,happy,happy,2.5978055000305176
12,happy,sad,2.696786880493164
12,happy,angry,2.653724193572998
12,happy,happy,1.8241026401519775
12,happy,sad,1.767394781112671
12,happy,angry,1.793752908706665
12,happy,happy,2.19465708732605
12,happy,sad,2.1085753440856934
12,happy,angry,2.10483717918396
12,happy,happy,1.807082176208496
12,happy,sad,1.813518762588501
12,happy,angry,1.7960755825042725
12,happy,happy,2.4798240661621094
12,happy,sad,2.4979770183563232
12,happy,angry,2.4849934577941895
12,happy,happy,1.8037267923355103
12,happy,sad,1.8069417476654053
12,happy,angry,1.7711560726165771
12,happy,happy,1.8981070518493652
12,happy,sad,1.8560410737991333
12,happy,angry,1.7902555465698242
12,happy,happy,1.9537339210510254
12,happy,sad,1.8345818519592285
12,happy,angry,1.8953481912612915
12,happy,happy,1.5094881057739258
12,happy,sad,1.3291579484939575
12,happy,angry,1.404294490814209
12,happy,happy,2.3754401206970215
12,happy,sad,2.2411580085754395
