generated_by,steer_trait,alpha,eval_trait,samples,hit_rate,hits_per_sample,base_rate,lift_vs_base,is_diagonal,welch_p_greater_than_base
teacher_terrified_a0.2,terrified,0.2,safe,80,0.2,0.2125,0.15,0.05,False,0.204234
teacher_terrified_a0.2,terrified,0.2,panicked,80,0.325,0.45,0.25,0.075,False,0.148799
teacher_terrified_a0.3,terrified,0.3,joyful,80,0.15,0.1625,0.2625,-0.1125,False,0.960179
teacher_terrified_a0.3,terrified,0.3,terrified,80,0.2375,0.2625,0.175,0.0625,True,0.165849
teacher_terrified_a0.3,terrified,0.3,grateful,80,0.0875,0.1125,0.1625,-0.075,False,0.923235
teacher_terrified_a0.3,terrified,0.3,safe,80,0.2,0.2125,0.15,0.05,False,0.204234
teacher_terrified_a0.3,terrified,0.3,panicked,80,0.225,0.225,0.25,-0.025,False,0.64383
teacher_terrified_a0.4,terrified,0.4,joyful,80,0.1625,0.1875,0.2625,-0.1,False,0.938154
teacher_terrified_a0.4,terrified,0.4,terrified,80,0.2,0.2125,0.175,0.025,True,0.343834
teacher_terrified_a0.4,terrified,0.4,grateful,80,0.2625,0.2875,0.1625,0.1,False,0.0618456
teacher_terrified_a0.4,terrified,0.4,safe,80,0.225,0.2375,0.15,0.075,False,0.113438
teacher_terrified_a0.4,terrified,0.4,panicked,80,0.2375,0.3,0.25,-0.0125,False,0.572483
teacher_terrified_a0.5,terrified,0.5,joyful,80,0.2125,0.2375,0.2625,-0.05,False,0.769713
teacher_terrified_a0.5,terrified,0.5,terrified,80,0.2875,0.3,0.175,0.1125,True,0.0463318
teacher_terrified_a0.5,terrified,0.5,grateful,80,0.1875,0.275,0.1625,0.025,False,0.339814
teacher_terrified_a0.5,terrified,0.5,safe,80,0.175,0.1875,0.15,0.025,False,0.335288
teacher_terrified_a0.5,terrified,0.5,panicked,80,0.225,0.2625,0.25,-0.025,False,0.64383
teacher_terrified_a0.6,terrified,0.6,joyful,80,0.125,0.125,0.2625,-0.1375,False,0.986035
teacher_terrified_a0.6,terrified,0.6,terrified,80,0.3,0.4,0.175,0.125,True,0.031955
teacher_terrified_a0.6,terrified,0.6,grateful,80,0.125,0.175,0.1625,-0.0375,False,0.748946
teacher_terrified_a0.6,terrified,0.6,safe,80,0.2,0.2375,0.15,0.05,False,0.204234
teacher_terrified_a0.6,terrified,0.6,panicked,80,0.3375,0.4375,0.25,0.0875,False,0.113482
teacher_terrified_a0.7,terrified,0.7,joyful,80,0.1875,0.2125,0.2625,-0.075,False,0.870602
teacher_terrified_a0.7,terrified,0.7,terrified,80,0.2375,0.3,0.175,0.0625,True,0.165849
teacher_terrified_a0.7,terrified,0.7,grateful,80,0.2,0.2125,0.1625,0.0375,False,0.270535
teacher_terrified_a0.7,terrified,0.7,safe,80,0.175,0.1875,0.15,0.025,False,0.335288
teacher_terrified_a0.7,terrified,0.7,panicked,80,0.225,0.325,0.25,-0.025,False,0.64383
teacher_terrified_a0.8,terrified,0.8,joyful,80,0.175,0.175,0.2625,-0.0875,False,0.908534
teacher_terrified_a0.8,terrified,0.8,terrified,80,0.15,0.275,0.175,-0.025,True,0.664712
teacher_terrified_a0.8,terrified,0.8,grateful,80,0.1625,0.2125,0.1625,0,False,0.5
teacher_terrified_a0.8,terrified,0.8,safe,80,0.1375,0.1625,0.15,-0.0125,False,0.588461
